Date,Close,High,Low,Open,Volume,Ticker
,IBM,IBM,IBM,IBM,IBM,
2005-12-13,43.18803787231445,43.801990775532026,43.07969639082497,43.59561742225321,13122384,IBM
2005-12-14,42.88878631591797,43.31184245851756,42.795917521612495,43.15706662434787,7491243,IBM
2005-12-15,43.095149993896484,43.14674330448526,42.69272958236135,42.75979965095054,6439071,IBM
2005-12-16,43.0125846862793,43.337612933650796,42.821692401198526,43.28086484536531,7738517,IBM
2005-12-19,42.697898864746094,43.13127289746469,42.64114662104972,42.94038460128832,5214728,IBM
2005-12-20,42.55344009399414,42.87330963360831,42.33674896424908,42.79592170895149,5518905,IBM
2005-12-21,42.88363265991211,43.337642378173676,42.54311919533331,42.54311919533331,7161753,IBM
2005-12-22,42.935218811035156,42.9403818485448,42.460569326804865,42.62050820646978,6875986,IBM
2005-12-23,43.06932830810547,43.440795005510736,43.022898058868705,43.33760843936977,3782545,IBM
2005-12-27,42.81656265258789,43.59560495772683,42.76496932901936,43.06936211528901,4579179,IBM
2005-12-28,42.84232711791992,43.11576618804832,42.71850487536137,42.87328061993347,4013293,IBM
2005-12-29,42.51216125488281,42.85267056682997,42.41929657608073,42.71853041008549,4140486,IBM
2005-12-30,42.40896224975586,42.558583240374794,42.078770874283485,42.22839186490241,5699654,IBM
2006-01-03,42.33674240112305,42.589545935132186,41.69183626686592,42.53795262094075,12253995,IBM
2006-01-04,42.27997970581055,42.563740805024665,41.96011029492917,42.40896090074788,10285109,IBM
2006-01-05,42.56375503540039,42.770124192845024,41.918848845101735,41.99623676448663,7545216,IBM
2006-01-06,43.8277473449707,43.86902280325193,43.033224623139056,43.31182264409245,8573957,IBM
2006-01-09,43.198341369628906,43.466621699083426,43.017770921364836,43.286051250819355,7166251,IBM
2006-01-10,43.37374496459961,43.399539559398214,42.883618842649824,42.899095599528984,5962200,IBM
2006-01-11,43.42532730102539,43.75551861730096,43.02806593796342,43.52850977140685,6042114,IBM
2006-01-12,43.11579132080078,43.31700155293343,43.028085563385396,43.24477255554642,5150609,IBM
2006-01-13,42.90941619873047,43.05387417340624,42.56374801991614,42.82171045351747,7239994,IBM
2006-01-17,42.82173156738281,42.90427843400502,42.58440469393091,42.71854489616301,9119446,IBM
2006-01-18,43.23443603515625,43.69876745616523,43.0899781027984,43.33761850801779,11490101,IBM
2006-01-19,42.868141174316406,43.538845979028636,42.832028738897776,43.40986476088252,6781741,IBM
2006-01-20,41.97559356689453,42.84750443906336,41.918841338240924,42.8423455198452,9001667,IBM
2006-01-23,42.001380920410156,42.26450222417991,41.74857745329754,41.96010957378165,6395349,IBM
2006-01-24,41.71247100830078,42.383171659752925,41.686672295704106,41.991069107018774,6348174,IBM
2006-01-25,41.74343490600586,42.10974295451292,41.588659060942106,41.81566390818594,6667518,IBM
2006-01-26,41.645408630371094,42.12521701309129,41.578338552845594,42.04782909552411,8169469,IBM
2006-01-27,41.80017852783203,42.18712217795757,41.66087947254748,41.66087947254748,6384156,IBM
2006-01-30,42.11488723754883,42.207751888860365,41.38227551241377,41.38227551241377,5570055,IBM
2006-01-31,41.944637298583984,42.305786359124646,41.87756722931262,42.04782392081106,7083094,IBM
2006-02-01,42.27482223510742,42.429602144684694,41.609280563960205,41.73826176331453,5668588,IBM
2006-02-02,41.90853500366211,42.09426849826108,41.73827827096595,42.02203949212622,6483108,IBM
2006-02-03,41.25845718383789,41.67119541158932,41.12947597300884,41.55769095791884,10305192,IBM
2006-02-06,41.021141052246094,41.248150018323614,40.72190720074106,41.24299109793593,10008651,IBM
2006-02-07,41.196556091308594,41.37197173367455,40.912799005139846,41.01598152863083,5488676,IBM
2006-02-08,41.791343688964844,41.84306654294696,41.50170231081205,41.677558363314475,5260543,IBM
2006-02-09,41.584468841552734,41.79135619178427,41.118971271633505,41.584468841552734,7959223,IBM
2006-02-10,42.06549835205078,42.13273686355134,41.48103925128621,41.58448089258242,5619007,IBM
2006-02-13,41.60516357421875,42.36547453993275,41.4706865801418,42.06548930434268,5499240,IBM
2006-02-14,41.941341400146484,42.1275412024636,41.558598049982216,41.66203963287483,6354973,IBM
2006-02-15,41.81720733642578,42.15339969718126,41.63617941060609,41.82237920908418,5284392,IBM
2006-02-16,41.8482551574707,41.848255157470696,41.444824164678344,41.72929378399752,5554783,IBM
2006-02-17,41.74480056762695,41.91030876205757,41.4448112897821,41.84824215724802,5542545,IBM
2006-02-21,41.63618850708008,41.76549360697382,41.362062685927604,41.42930117276864,6106548,IBM
2006-02-22,42.07583236694336,42.23099685677929,41.362068284029995,41.377583907494916,5537838,IBM
2006-02-23,41.481014251708984,42.070644872802916,41.398256035435146,41.99823452925719,5208452,IBM
2006-02-24,41.429283142089844,41.71375258701337,41.2999780984717,41.71375258701337,4082747,IBM
2006-02-27,41.70344161987305,41.837918640718,41.351733440954156,41.362077192158495,3961202,IBM
2006-02-28,41.50171661376953,41.66205297602057,41.22759075906035,41.42930624427616,6234892,IBM
2006-03-01,41.32585144042969,41.79652080274425,41.26378483338659,41.48102002183362,5410226,IBM
2006-03-02,41.34654998779297,41.48619884513664,41.13966263885445,41.14483451300843,4622065,IBM
2006-03-03,41.35688400268555,41.806865841329525,41.124133210162334,41.124133210162334,4554702,IBM
2006-03-06,41.377567291259766,41.70858776354838,41.32584443955398,41.33101631196539,4926137,IBM
2006-03-07,41.52756881713867,41.78617900394072,41.30516587262966,41.382748103151755,4530017,IBM
2006-03-08,41.96721649169922,42.20513923842309,41.50689074995478,41.50689074995478,5826115,IBM
2006-03-09,41.9051399230957,42.40167279752351,41.79135045144057,42.02927314170265,4508992,IBM
2006-03-10,42.18961715698242,42.54132522094076,41.91031532778751,41.91031532778751,5007411,IBM
2006-03-13,42.37580871582031,42.61890327619244,42.12754640963638,42.18443701708368,4781684,IBM
2006-03-14,42.867164611816406,42.92405934008978,42.13788514502505,42.15857263618191,4725828,IBM
2006-03-15,43.12578582763672,43.3223294268356,42.74304237747157,42.748214251587875,5617438,IBM
2006-03-16,42.86199951171875,43.3016335338213,42.72752254276624,43.1516409440495,4497277,IBM
2006-03-17,43.08439636230469,43.14129109151639,42.83612995395985,43.110255726677245,6709462,IBM
2006-03-20,43.22922897338867,43.31715909167599,42.92407187931276,42.9861384985066,4048334,IBM
2006-03-21,43.34817123413086,43.95848928091147,43.22920992246896,43.35334310615169,7744898,IBM
2006-03-22,43.679203033447266,43.79816437602668,43.11025981496755,43.11025981496755,5197156,IBM
2006-03-23,43.03266525268555,43.58609269244449,42.89301645667299,43.56540107732283,5340667,IBM
2006-03-24,43.11544418334961,43.30163991580878,42.924072448928484,42.924072448928484,4391945,IBM
2006-03-27,42.970619201660156,43.06372119523041,42.71200897355452,42.91890045811363,4089965,IBM
2006-03-28,42.63442611694336,43.130959068588716,42.56201574942728,42.85683322136501,4715996,IBM
2006-03-29,42.99647903442383,43.213710121574216,42.51546173971475,42.51546173971475,4594137,IBM
2006-03-30,43.03266525268555,43.291275357180304,42.841293610255775,42.867157097260026,4672482,IBM
2006-03-31,42.65511703491211,43.2395760237865,42.56201916280895,42.903383530645215,6131652,IBM
2006-04-03,42.960269927978516,43.23439574389373,42.748210723930214,42.784413839756816,4311194,IBM
2006-04-04,43.16197967529297,43.33266386724748,42.8257872919815,42.95509237230069,4030238,IBM
2006-04-05,43.53437042236328,43.679191092175664,43.09473241338373,43.099904285334794,5777999,IBM
2006-04-06,43.34817123413086,43.61195321755882,43.11542461041928,43.291276514310326,5171529,IBM
2006-04-07,42.66029739379883,43.34302619919368,42.63960576531229,43.23958043954284,5583025,IBM
2006-04-10,42.46372604370117,42.794746479951684,42.41200319762644,42.551651992714326,3794574,IBM
2006-04-11,41.9775505065918,42.443048015091506,41.76549131015386,42.32409079690906,6233846,IBM
2006-04-12,41.765499114990234,42.08617597012116,41.7034324937522,41.94652710423393,4084839,IBM
